transaction_id,transaction_timestamp,store_id,product_id,quantity,unit_price,discount,total_amount,currency
6e8944c8-2358-4066-b47a-f9fb5cfaaca8,2025-01-01 06:32:00,STR007,PRD104,2,979.15,0,1958.3,EUR
5a54ddad-1d0a-441b-8cc9-7e309c409dc6,2025-01-01 04:53:00,STR006,PRD102,5,533.05,0,2665.25,EUR
c930ad8a-b0e4-4f8c-9142-c985aea6f06b,2025-01-01 12:47:00,STR005,PRD107,4,1189.88,0,4759.52,INR
64110360-7a32-461d-b0cd-34a010873ff1,2025-01-01 20:31:00,STR001,PRD105,2,1176.87,20,2333.74,EUR
c58bbeb5-5b7a-4ee8-85ba-0e8a27322a8c,2025-01-01 14:41:00,STR006,PRD109,3,133.43,20,380.29,INR
b05f7cf2-d5d7-409e-9db7-63f9dfd16895,2025-01-01 16:49:00,STR001,PRD105,3,838.26,0,2514.78,INR
980273d3-85ff-4af0-b450-68e00a86740d,2025-01-01 10:09:00,STR008,PRD103,5,1425.77,50,7078.85,EUR
ed6d7c72-ec1a-437f-9adf-5d000b2f2c9e,2025-01-01 12:02:00,STR008,PRD101,2,573.7,10,1137.4,USD
1006b00d-8252-4ba6-9309-60de4a2809c8,2025-01-01 03:51:00,STR003,PRD106,2,332.5,10,707.0,USD
92eb1964-df8f-4f43-a5a1-6a56f39f4e42,2025-01-01 05:44:00,STR006,PRD108,5,941.54,50,4657.7,EUR
a3f6fa5d-4b84-4f48-8d1f-5d293c037da7,2025-01-01 13:11:00,STR003,PRD101,3,994.7,0,2984.1,USD
1fb61961-58e8-4f91-a14c-ca23bab0d689,2025-01-01 16:41:00,STR002,PRD104,2,54.01,50,58.02,INR
c33d2586-eafd-44bd-b289-bf86c317a541,2025-01-01 21:55:00,STR003,PRD103,5,826.72,0,4133.6,USD
abd0e807-a03b-49ab-91c8-e55f0fa915be,2025-01-01 02:52:00,STR001,PRD109,2,1264.17,20,2508.34,INR
7cb3c309-5c74-406f-9f1e-995a1b59a5f8,2025-01-01 18:29:00,STR007,PRD109,5,845.41,0,4227.05,INR
60370a17-7be1-4813-bb45-54b5073d1b15,2025-01-01 12:39:00,STR009,PRD103,2,1118.32,10,2226.64,EUR
fb0991af-23fa-4edc-9103-00f0b3b13ddb,2025-01-01 12:18:00,STR005,PRD106,2,777.28,0,1554.56,EUR
bc7fe454-90d9-4330-a1dc-c29a89acc89d,2025-01-01 20:11:00,STR009,PRD103,1,1104.87,0,1104.87,USD
de597c06-c933-4042-bb49-3ab5a316c877,2025-01-01 15:56:00,STR006,PRD109,3,108.23,10,314.69,INR
01da61f9-6511-4dd3-a551-51f4c7320ae7,2025-01-01 12:51:00,STR001,PRD109,4,389.26,0,1591.04,USD
97233a6b-b0d2-458d-9731-b7db8aa30779,2025-01-01 13:08:00,STR004,PRD102,3,1320.25,10,3950.75,EUR
3664e7c3-a0ad-4066-888a-54a6c716879f,2025-01-01 11:40:00,STR006,PRD103,3,842.97,50,2478.91,USD
81370e27-32e3-47e9-a8e7-d58af55284ce,2025-01-01 12:21:00,STR008,PRD107,4,504.66,10,2008.64,USD
adee5a54-1bde-4925-9017-de186d8c850f,2025-01-01 12:19:00,STR002,PRD103,5,1310.52,10,6542.6,USD
660fbd1f-a403-45ea-a9fe-7861f588a34f,2025-01-01 17:03:00,STR002,PRD101,3,460.16,20,1360.48,EUR
1a33f95a-4d52-4fe5-a60b-7298295dd110,2025-01-01 05:40:00,STR010,PRD110,4,832.07,0,3328.28,USD
4ec7c7d8-1d71-4dd5-b4c4-3bb26a9a8703,2025-01-01 23:55:00,STR005,PRD109,2,922.06,50,1794.12,USD
3e4ff513-f311-4024-966a-a03990064ba9,2025-01-01 17:15:00,STR008,PRD101,4,767.92,20,3051.68,EUR
913e89d4-ae3a-4991-b7c7-3cdd9c131f85,2025-01-01 18:33:00,STR010,PRD101,5,399.85,0,1999.25,INR
5199619e-d6d2-44b0-8f8f-19e2ac455146,2025-01-01 08:01:00,STR008,PRD110,3,1379.87,0,4139.61,INR
4daa3bc5-dc1b-4391-96b1-c69afcbad184,2025-01-01 20:59:00,STR007,PRD107,2,1104.08,10,2198.16,EUR
6646a1c2-c2fd-4cc3-918b-00a34d964acf,2025-01-01 21:33:00,STR003,PRD101,4,834.0,0,3352.0,EUR
849016a4-e373-48fa-96bc-19827765dd4f,2025-01-01 16:27:00,STR999,PRD109,1,603.53,20,583.53,USD
09bfbe0a-bf9c-45de-becb-8c1c36956c8c,2025-01-01 02:00:00,STR005,PRD109,3,1426.54,10,4269.62,EUR
4f13a306-7b13-475d-bf40-6633bbad3696,2025-01-01 11:47:00,STR007,PRD102,1,215.63,50,165.63,USD
70947cbc-0804-4b5e-97a9-dde8d7ed2420,2025-01-01 01:07:00,STR002,PRD109,4,1231.98,0,4927.92,USD
b7fe533b-f155-45f9-b668-6c5ca20a66df,2025-01-01 00:03:00,STR005,PRD105,5,1157.58,0,5787.9,INR
0f17e9fe-0387-4304-88b7-2a49fbb5f5ac,2025-01-01 05:12:00,STR010,PRD109,3,1396.29,20,4168.87,INR
7d1a91a2-b020-4792-9379-21990b4e2d04,2025-01-01 21:14:00,STR008,PRD108,2,235.13,0,470.26,EUR
39115c5b-b657-4743-8bb6-82b5b0556d8e,2025-01-01 14:30:00,STR001,PRD108,2,84.82,0,169.64,INR
cad2ee7c-6e91-4ee8-9ffa-c4cd1b9b9908,2025-01-01 12:05:00,STR003,PRD101,4,565.75,0,2263.0,EUR
ff2335f2-f9a8-44a3-8ec6-e1c65374ba7d,2025-01-01 22:49:00,STR006,PRD108,5,868.74,10,4333.7,INR
d9094f52-0127-43c2-bff3-3e4f7a1f7072,2025-01-01 12:52:00,STR004,PRD107,1,1483.61,0,1483.61,INR
a4d970fa-2cc5-46f8-b02b-d2f6111afeb1,2025-01-01 11:45:00,STR999,PRD110,4,779.17,10,3106.68,INR
171ab6d1-bb0f-4a53-a676-cd7ed7880f5a,2025-01-01 09:23:00,STR999,PRD109,3,1381.16,20,4123.48,USD
e18e55f2-0752-4247-aea6-d12236f269a4,2025-01-01 03:47:00,STR006,PRD110,1,634.42,10,624.42,USD
d7ac4e5c-8fc2-46d6-bb02-c6031a641a5a,2025-01-01 02:03:00,STR008,PRD104,2,988.87,0,1977.74,INR
43600eef-8fc8-42a0-b038-143790b789eb,2025-01-01 19:32:00,STR007,PRD109,1,353.38,0,353.38,USD
d2e767ef-8924-4525-a449-d2409ae195fb,2025-01-01 04:23:00,STR001,PRD103,1,612.55,50,651.55,EUR
2f69cd5e-337d-4eb9-8993-71c11a4ef1a9,2025-01-01 04:15:00,STR004,PRD104,3,1344.63,10,4023.89,EUR
5a99965f-f1e7-4961-b73c-4e4e7cd5981a,2025-01-01 07:40:00,STR007,PRD107,3,1310.51,0,3931.53,USD
b3698467-5698-4cc3-9b60-5b971e3c8ead,2025-01-01 14:41:00,STR003,PRD102,1,217.19,20,197.19,INR
6670382a-7d7c-4ecf-8e68-a23080fb2d79,2025-01-01 07:13:00,STR999,PRD109,4,1355.32,0,5421.28,INR
893c93e7-b38d-4fd0-83eb-f490d848e3fd,2025-01-01 05:12:00,STR999,PRD104,2,1075.75,20,2131.5,USD
74214232-37cb-4877-af0a-1d7d1e830568,2025-01-01 13:34:00,STR006,PRD103,2,1021.19,50,1992.38,USD
3cd44284-fc7b-4867-a4a9-d2c3ed2042e4,2025-01-01 20:23:00,STR005,PRD104,4,1446.44,0,5876.76,INR
6422b1c6-22fe-4f66-8e29-ae87c24c68c0,2025-01-01 23:19:00,STR001,PRD107,1,604.54,10,594.54,INR
2c6e76d1-fd92-4136-ba22-efc272ad4341,2025-01-01 18:01:00,STR005,PRD103,1,1258.18,20,1238.18,USD
f46e52c9-1115-4867-8cb1-80c183e54de1,2025-01-01 16:51:00,STR010,PRD110,5,1423.09,20,7095.45,INR
43101448-843d-4306-87f5-96d498bdc03c,2025-01-01 14:30:00,STR002,PRD109,3,1237.32,10,3701.96,EUR
f7f1a3ac-2313-487e-88fd-2df29d0d82fc,2025-01-01 12:36:00,STR009,PRD109,4,981.02,0,3924.08,EUR
